business_name,category,phone,address,website,notes
The Lodge at Torrey Pines,Hotel/Resort,+18584534420,"11480 N Torrey Pines Rd, La Jolla, CA 92037",lodgetorreypines.com,AAA Five Diamond luxury resort
La Valencia Hotel,Hotel/Resort,+18584560511,"1132 Prospect St, La Jolla, CA 92037",lavalencia.com,Historic luxury hotel - The Pink Lady
Hotel La Jolla,Hotel/Resort,+18584590261,"7955 La Jolla Shores Dr, La Jolla, CA 92037",hotellajolla.com,Curio Collection by Hilton
Grande Colonial Hotel,Hotel/Resort,+18584545679,"910 Prospect St, La Jolla, CA 92037",thegrandecolonial.com,Historic boutique hotel since 1913
Empress Hotel La Jolla,Hotel/Resort,+18584543001,"7766 Fay Ave, La Jolla, CA 92037",empress-hotel.com,Boutique hotel in the village
The Marine Room,Restaurant,+18584597222,"2000 Spindrift Dr, La Jolla, CA 92037",marineroom.com,Fine dining on the beach
George's at the Cove,Restaurant,+18584544244,"1250 Prospect St, La Jolla, CA 92037",georgesatthecove.com,Award-winning ocean view dining
Eddie V's Prime Seafood,Restaurant,+18584591183,"1270 Prospect St, La Jolla, CA 92037",eddiev.com,Upscale seafood and steaks
Herringbone,Restaurant,+18584590221,"7837 Herschel Ave, La Jolla, CA 92037",herringboneeats.com,Farm-to-table California cuisine
Jose's Courtroom,Restaurant,+18584544369,"1037 Prospect St, La Jolla, CA 92037",josescourtroom.com,Local favorite Mexican restaurant
Puesto La Jolla,Restaurant,+18584541260,"1026 Wall St, La Jolla, CA 92037",eatpuesto.com,Modern Mexican street food
Catania,Restaurant,+18555112722,"7863 Girard Ave, La Jolla, CA 92037",cataniasd.com,Italian coastal cuisine
Piatti La Jolla,Restaurant,+18584541589,"2182 Avenida De La Playa, La Jolla, CA 92037",piatti.com,Italian restaurant
Whisknladle,Restaurant,+18585511400,"1044 Wall St, La Jolla, CA 92037",whisknladle.com,New American bistro
Nine-Ten Restaurant,Restaurant,+18589645400,"910 Prospect St, La Jolla, CA 92037",nine-ten.com,Fine dining in Grande Colonial
Barbarella Restaurant,Restaurant,+18584542159,"2171 Avenida De La Playa, La Jolla, CA 92037",barbarellarestaurant.com,Italian in La Jolla Shores
Warwick's,Bookstore/Gift,+18584540347,"7812 Girard Ave, La Jolla, CA 92037",warwicks.com,Oldest family-owned bookstore in US
La Jolla Brew House,Restaurant/Bar,+18584562739,"7536 Fay Ave, La Jolla, CA 92037",lajollabrewhouse.com,Craft brewery and restaurant
Beaumont's Eatery,Restaurant,+18584590474,"5662 La Jolla Blvd, La Jolla, CA 92037",beaumontseatery.com,Bird Rock neighborhood eatery
The Taco Stand La Jolla,Restaurant,+18585511600,"621 Pearl St, La Jolla, CA 92037",letstaco.com,Popular taco spot
Torrey Pines Golf Course,Golf,+18585817171,"11480 N Torrey Pines Rd, La Jolla, CA 92037",torreypinesgolfcourse.com,Famous public golf course
La Jolla Beach & Tennis Club,Club/Resort,+18584547126,"2000 Spindrift Dr, La Jolla, CA 92037",ljbtc.com,Private beach club
